name,latitude,longitude,date_of_occurrence
THEFT,41.797232784,-87.661026636,2024-07-14T16:00:00.000
THEFT,41.881424572,-87.686437519,2024-07-14T16:00:00.000
ASSAULT,41.903837364,-87.72056546,2024-07-14T16:00:00.000
BATTERY,41.884484068,-87.623213022,2024-07-14T16:00:00.000
DECEPTIVE PRACTICE,41.982226073,-87.695396468,2024-07-14T16:00:00.000
MOTOR VEHICLE THEFT,41.790394439,-87.617490568,2024-07-14T16:02:00.000
OTHER OFFENSE,41.910394952,-87.756914096,2024-07-14T16:05:00.000
ASSAULT,41.690159577,-87.60715051,2024-07-14T16:13:00.000
THEFT,41.748060338,-87.741302702,2024-07-14T16:14:00.000
MOTOR VEHICLE THEFT,41.748119118,-87.564479946,2024-07-14T16:15:00.000
ASSAULT,41.79972045,-87.736272403,2024-07-14T16:17:00.000
THEFT,41.889936436,-87.637486992,2024-07-14T16:20:00.000
BATTERY,41.954209119,-87.67474284,2024-07-14T16:30:00.000
OTHER OFFENSE,41.688252032,-87.607113384,2024-07-14T16:30:00.000
BURGLARY,41.986515595,-87.788699154,2024-07-14T16:40:00.000
BATTERY,41.921014145,-87.710987232,2024-07-14T16:40:00.000
THEFT,41.981051896,-87.668375719,2024-07-14T16:41:00.000
BURGLARY,41.920694772,-87.703248332,2024-07-14T16:41:00.000
ROBBERY,41.830013884,-87.619309564,2024-07-14T16:45:00.000
BATTERY,41.768632872,-87.658403753,2024-07-14T16:47:00.000
ASSAULT,41.93520362,-87.745172505,2024-07-14T16:50:00.000
WEAPONS VIOLATION,41.808211411,-87.698427986,2024-07-14T16:51:00.000
THEFT,41.814539325,-87.606678967,2024-07-14T17:00:00.000
THEFT,41.935546943,-87.642724821,2024-07-14T17:00:00.000
DECEPTIVE PRACTICE,41.730343016,-87.597400043,2024-07-14T17:00:00.000
MOTOR VEHICLE THEFT,41.909413227,-87.68597867,2024-07-14T17:00:00.000
THEFT,41.94038429,-87.686418991,2024-07-14T17:00:00.000
ROBBERY,41.811326204,-87.608483334,2024-07-14T17:00:00.000
DECEPTIVE PRACTICE,41.872334186,-87.688622027,2024-07-14T17:00:00.000
BATTERY,41.698596536,-87.535281903,2024-07-14T17:03:00.000
ASSAULT,41.688309595,-87.638620663,2024-07-14T17:05:00.000
WEAPONS VIOLATION,41.840820797,-87.708285888,2024-07-14T17:05:00.000
THEFT,41.920119932,-87.640613076,2024-07-14T17:10:00.000
ASSAULT,41.876351148,-87.666880865,2024-07-14T17:10:00.000
CRIMINAL DAMAGE,41.964071726,-87.660999944,2024-07-14T17:10:00.000
WEAPONS VIOLATION,41.834150123,-87.720628829,2024-07-14T17:11:00.000
WEAPONS VIOLATION,41.761847539,-87.599961434,2024-07-14T17:12:00.000
CRIMINAL TRESPASS,41.82535159,-87.600176404,2024-07-14T17:12:00.000
CRIMINAL DAMAGE,41.751268534,-87.606048047,2024-07-14T17:15:00.000
DECEPTIVE PRACTICE,41.902455031,-87.632873247,2024-07-14T17:21:00.000
ASSAULT,41.708613677,-87.630747875,2024-07-14T17:25:00.000
THEFT,41.941748603,-87.668718084,2024-07-14T17:27:00.000
THEFT,41.976182125,-87.876421145,2024-07-14T17:30:00.000
CRIMINAL DAMAGE,41.781347128,-87.622005605,2024-07-14T17:30:00.000
CRIMINAL DAMAGE,41.836069707,-87.613033345,2024-07-14T17:30:00.000
THEFT,41.976762981,-87.900983721,2024-07-14T17:30:00.000
ASSAULT,41.854855548,-87.651474466,2024-07-14T17:30:00.000
OFFENSE INVOLVING CHILDREN,41.717752516,-87.615249813,2024-07-14T17:30:00.000
THEFT,41.883475491,-87.627876969,2024-07-14T17:32:00.000
ASSAULT,41.767151617,-87.587921733,2024-07-14T17:37:00.000
THEFT,41.91058325,-87.726353375,2024-07-14T17:40:00.000
CRIMINAL DAMAGE,41.876556522,-87.76313002,2024-07-14T17:43:00.000
THEFT,41.843842611,-87.733051137,2024-07-14T17:45:00.000
